county,county_fips,state,total_population,health_service_area_number,health_service_area,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
"Walker, Alabama, US",1127,Alabama,,,,8.50%,23.4,181.04,High,2/24/22
"Washington, Alabama, US",1129,Alabama,,,,8.00%,16.2,128.63,Medium,2/24/22
"Wilcox, Alabama, US",1131,Alabama,,,,6.50%,8,241.01,Medium,2/24/22
"Winston, Alabama, US",1133,Alabama,,,,7.30%,13.8,355.5,High,2/24/22
"Aleutians East, Alaska, US",2013,Alaska,,,,6.50%,8,299.67,Medium,2/24/22
"Aleutians West, Alaska, US",2016,Alaska,,,,6.50%,8,53.25,Low,2/24/22
"Anchorage, Alaska, US",2020,Alaska,,,,6.50%,8,326.04,Medium,2/24/22
"Bethel, Alaska, US",2050,Alaska,,,,6.50%,8,467.75,Medium,2/24/22
"Bristol Bay, Alaska, US",2060,Alaska,,,,6.50%,8,0,Low,2/24/22
"Denali, Alaska, US",2068,Alaska,,,,5.00%,6.3,0,Low,2/24/22
"Dillingham, Alaska, US",2070,Alaska,,,,6.50%,8,915.38,Medium,2/24/22
"Fairbanks North Star, Alaska, US",2090,Alaska,,,,5.00%,6.3,229.22,Medium,2/24/22
"Haines, Alaska, US",2100,Alaska,,,,3.70%,8.5,1897.23,Medium,2/24/22
"Hoonah-Angoon, Alaska, US",2105,Alaska,,,,3.70%,8.5,186.22,Low,2/24/22
"Juneau, Alaska, US",2110,Alaska,,,,3.70%,8.5,350.28,Medium,2/24/22
"Kenai Peninsula, Alaska, US",2122,Alaska,,,,6.50%,8,453.09,Medium,2/24/22
"Ketchikan Gateway, Alaska, US",2130,Alaska,,,,16.70%,15.5,309.33,High,2/24/22
"Kodiak Island, Alaska, US",2150,Alaska,,,,6.50%,8,592.4,Medium,2/24/22
"Kusilvak, Alaska, US",2158,Alaska,,,,6.50%,8,505.17,Medium,2/24/22
"Lake and Peninsula, Alaska, US",2164,Alaska,,,,6.50%,8,314.07,Medium,2/24/22
"Matanuska-Susitna, Alaska, US",2170,Alaska,,,,6.50%,8,330.51,Medium,2/24/22
"Nome, Alaska, US",2180,Alaska,,,,6.50%,8,2708.92,Medium,2/24/22
"North Slope, Alaska, US",2185,Alaska,,,,6.50%,8,701.79,Medium,2/24/22
"Northwest Arctic, Alaska, US",2188,Alaska,,,,6.50%,8,1994.49,Medium,2/24/22
"Petersburg, Alaska, US",2195,Alaska,,,,16.70%,15.5,306.18,High,2/24/22
"Prince of Wales-Hyder, Alaska, US",2198,Alaska,,,,16.70%,15.5,693.21,High,2/24/22
"Sitka, Alaska, US",2220,Alaska,,,,3.70%,8.5,329.68,Medium,2/24/22
"Skagway, Alaska, US",2230,Alaska,,,,3.70%,8.5,253.59,Medium,2/24/22
"Southeast Fairbanks, Alaska, US",2240,Alaska,,,,5.00%,6.3,420.72,Medium,2/24/22
"Valdez-Cordova, Alaska, US",2261,Alaska,,,,6.50%,8,738.97,Medium,2/24/22
"Wrangell, Alaska, US",2275,Alaska,,,,16.70%,15.5,0,High,2/24/22
"Yakutat, Alaska, US",2282,Alaska,,,,3.70%,8.5,0,Low,2/24/22
"Yukon-Koyukuk, Alaska, US",2290,Alaska,,,,5.00%,6.3,669.22,Medium,2/24/22
"Apache, Arizona, US",4001,Arizona,,,,9.80%,25.8,332.47,High,2/24/22
"Cochise, Arizona, US",4003,Arizona,,,,9.30%,15.5,260.48,High,2/24/22
"Coconino, Arizona, US",4005,Arizona,,,,9.30%,19.8,181.21,Medium,2/24/22
"Gila, Arizona, US",4007,Arizona,,,,9.30%,19.8,236.96,High,2/24/22
"Graham, Arizona, US",4009,Arizona,,,,9.30%,15.5,272.94,High,2/24/22
"Greenlee, Arizona, US",4011,Arizona,,,,9.30%,15.5,231.63,High,2/24/22
"La Paz, Arizona, US",4012,Arizona,,,,18.90%,40.4,165.81,High,2/24/22
"Maricopa, Arizona, US",4013,Arizona,,,,9.30%,19.8,190.66,Medium,2/24/22
"Mohave, Arizona, US",4015,Arizona,,,,13.10%,28.7,186.63,High,2/24/22
"Navajo, Arizona, US",4017,Arizona,,,,14.50%,22.9,288.49,High,2/24/22
"Pima, Arizona, US",4019,Arizona,,,,9.30%,15.5,238.71,High,2/24/22
"Pinal, Arizona, US",4021,Arizona,,,,9.30%,19.8,203.98,High,2/24/22
"Santa Cruz, Arizona, US",4023,Arizona,,,,9.30%,15.5,109.68,Medium,2/24/22
"Yavapai, Arizona, US",4025,Arizona,,,,9.30%,19.8,148.02,Medium,2/24/22
"Yuma, Arizona, US",4027,Arizona,,,,18.90%,40.4,170.26,High,2/24/22
"Arkansas, Arkansas, US",5001,Arkansas,,,,9.80%,49.6,188.72,High,2/24/22
"Ashley, Arkansas, US",5003,Arkansas,,,,6.00%,57.1,310.32,High,2/24/22
"Baxter, Arkansas, US",5005,Arkansas,,,,5.70%,6.8,171.71,Low,2/24/22
"Benton, Arkansas, US",5007,Arkansas,,,,9.40%,14.2,194.17,Medium,2/24/22
"Boone, Arkansas, US",5009,Arkansas,,,,9.70%,12.3,192.35,Medium,2/24/22
"Bradley, Arkansas, US",5011,Arkansas,,,,5.00%,11.7,148.66,Medium,2/24/22
"Calhoun, Arkansas, US",5013,Arkansas,,,,11.40%,7.4,192.72,Medium,2/24/22
"Carroll, Arkansas, US",5015,Arkansas,,,,9.70%,12.3,133.9,Medium,2/24/22
"Chicot, Arkansas, US",5017,Arkansas,,,,6.00%,57.1,118.6,High,2/24/22
"Clark, Arkansas, US",5019,Arkansas,,,,12.60%,16.6,219.53,High,2/24/22
"Clay, Arkansas, US",5021,Arkansas,,,,8.70%,17.5,164.94,Medium,2/24/22
"Cleburne, Arkansas, US",5023,Arkansas,,,,10.10%,25.5,228.74,High,2/24/22
"Cleveland, Arkansas, US",5025,Arkansas,,,,5.00%,11.7,175.97,Medium,2/24/22
"Columbia, Arkansas, US",5027,Arkansas,,,,11.40%,7.4,251.52,High,2/24/22
"Conway, Arkansas, US",5029,Arkansas,,,,10.30%,35.8,211.07,High,2/24/22
"Craighead, Arkansas, US",5031,Arkansas,,,,8.70%,17.5,414.2,High,2/24/22
"Crawford, Arkansas, US",5033,Arkansas,,,,16.60%,30.5,148.6,High,2/24/22
"Crittenden, Arkansas, US",5035,Arkansas,,,,2.10%,3.1,256.49,Medium,2/24/22
"Cross, Arkansas, US",5037,Arkansas,,,,2.10%,3.1,334.98,Medium,2/24/22
"Dallas, Arkansas, US",5039,Arkansas,,,,1.70%,19.7,328.15,High,2/24/22
"Desha, Arkansas, US",5041,Arkansas,,,,5.00%,11.7,167.24,Medium,2/24/22
"Drew, Arkansas, US",5043,Arkansas,,,,5.00%,11.7,362.26,High,2/24/22
"Faulkner, Arkansas, US",5045,Arkansas,,,,10.30%,35.8,158.72,High,2/24/22
"Franklin, Arkansas, US",5047,Arkansas,,,,16.60%,30.5,124.19,High,2/24/22
"Fulton, Arkansas, US",5049,Arkansas,,,,13.90%,25.5,216.4,High,2/24/22
"Garland, Arkansas, US",5051,Arkansas,,,,12.60%,16.6,205.26,High,2/24/22
"Grant, Arkansas, US",5053,Arkansas,,,,10.30%,35.8,257.32,High,2/24/22
"Greene, Arkansas, US",5055,Arkansas,,,,8.70%,17.5,264.75,High,2/24/22
"Hempstead, Arkansas, US",5057,Arkansas,,,,7.70%,10.5,92.89,Medium,2/24/22
"Hot Spring, Arkansas, US",5059,Arkansas,,,,12.60%,16.6,266.5,High,2/24/22
"Howard, Arkansas, US",5061,Arkansas,,,,7.70%,10.5,143.92,Medium,2/24/22
"Independence, Arkansas, US",5063,Arkansas,,,,13.90%,25.5,219.43,High,2/24/22
"Izard, Arkansas, US",5065,Arkansas,,,,13.90%,25.5,205.44,High,2/24/22
"Jackson, Arkansas, US",5067,Arkansas,,,,,,263.17,N/A,2/24/22
"Jefferson, Arkansas, US",5069,Arkansas,,,,5.00%,11.7,116.72,Medium,2/24/22
"Johnson, Arkansas, US",5071,Arkansas,,,,17.10%,18.8,199.41,High,2/24/22
"Lafayette, Arkansas, US",5073,Arkansas,,,,7.70%,10.5,105.68,Medium,2/24/22
"Lawrence, Arkansas, US",5075,Arkansas,,,,8.70%,17.5,444.96,High,2/24/22
"Lee, Arkansas, US",5077,Arkansas,,,,2.10%,3.1,327.42,Medium,2/24/22
"Lincoln, Arkansas, US",5079,Arkansas,,,,5.00%,11.7,214.99,High,2/24/22
"Little River, Arkansas, US",5081,Arkansas,,,,7.70%,10.5,195.77,Medium,2/24/22
"Logan, Arkansas, US",5083,Arkansas,,,,16.60%,30.5,251.56,High,2/24/22
"Lonoke, Arkansas, US",5085,Arkansas,,,,10.30%,35.8,165.05,High,2/24/22
"Madison, Arkansas, US",5087,Arkansas,,,,9.40%,14.2,187.02,Medium,2/24/22
"Marion, Arkansas, US",5089,Arkansas,,,,5.70%,6.8,371.39,Medium,2/24/22
"Miller, Arkansas, US",5091,Arkansas,,,,7.70%,10.5,272.79,High,2/24/22
"Mississippi, Arkansas, US",5093,Arkansas,,,,3.50%,1.8,282.9,Medium,2/24/22
"Monroe, Arkansas, US",5095,Arkansas,,,,9.80%,49.6,179.08,High,2/24/22
"Montgomery, Arkansas, US",5097,Arkansas,,,,12.60%,16.6,111.28,Medium,2/24/22
"Nevada, Arkansas, US",5099,Arkansas,,,,7.70%,10.5,121.18,Medium,2/24/22
"Newton, Arkansas, US",5101,Arkansas,,,,9.70%,12.3,128.98,Medium,2/24/22
"Ouachita, Arkansas, US",5103,Arkansas,,,,1.70%,19.7,171.07,Medium,2/24/22
"Perry, Arkansas, US",5105,Arkansas,,,,10.30%,35.8,200.86,High,2/24/22
"Phillips, Arkansas, US",5107,Arkansas,,,,4.20%,22.5,106.85,High,2/24/22
"Pike, Arkansas, US",5109,Arkansas,,,,12.60%,16.6,167.94,Medium,2/24/22
"Poinsett, Arkansas, US",5111,Arkansas,,,,8.70%,17.5,331.52,High,2/24/22
"Polk, Arkansas, US",5113,Arkansas,,,,2.40%,5,180.32,Low,2/24/22
"Pope, Arkansas, US",5115,Arkansas,,,,8.50%,15.2,152.95,Medium,2/24/22
"Prairie, Arkansas, US",5117,Arkansas,,,,10.30%,35.8,148.85,High,2/24/22
"Pulaski, Arkansas, US",5119,Arkansas,,,,10.30%,35.8,177.85,High,2/24/22
"Randolph, Arkansas, US",5121,Arkansas,,,,8.70%,17.5,178.19,Medium,2/24/22
"St. Francis, Arkansas, US",5123,Arkansas,,,,2.10%,3.1,140.03,Low,2/24/22
"Saline, Arkansas, US",5125,Arkansas,,,,10.30%,35.8,167.43,High,2/24/22
"Scott, Arkansas, US",5127,Arkansas,,,,16.60%,30.5,213.99,High,2/24/22
"Searcy, Arkansas, US",5129,Arkansas,,,,9.70%,12.3,266.46,High,2/24/22
"Sebastian, Arkansas, US",5131,Arkansas,,,,16.60%,30.5,123.6,High,2/24/22
"Sevier, Arkansas, US",5133,Arkansas,,,,7.70%,10.5,311.64,High,2/24/22
"Sharp, Arkansas, US",5135,Arkansas,,,,13.90%,25.5,212.13,High,2/24/22
"Stone, Arkansas, US",5137,Arkansas,,,,13.90%,25.5,391.81,High,2/24/22
"Union, Arkansas, US",5139,Arkansas,,,,11.40%,7.4,149.94,Medium,2/24/22
"Van Buren, Arkansas, US",5141,Arkansas,,,,10.30%,35.8,145.06,High,2/24/22
"Washington, Arkansas, US",5143,Arkansas,,,,9.40%,14.2,195.24,Medium,2/24/22
"White, Arkansas, US",5145,Arkansas,,,,10.10%,25.5,359.35,High,2/24/22
"Woodruff, Arkansas, US",5147,Arkansas,,,,10.10%,25.5,522.15,High,2/24/22
"Yell, Arkansas, US",5149,Arkansas,,,,8.50%,15.2,192.12,Medium,2/24/22
"Alameda, California, US",6001,California,,,,8.00%,9.1,106.02,Low,2/24/22
"Alpine, California, US",6003,California,,,,8.90%,14.7,0,Medium,2/24/22
"Amador, California, US",6005,California,,,,14.40%,15.5,196.22,Medium,2/24/22
"Butte, California, US",6007,California,,,,15.80%,16.6,235.87,High,2/24/22
"Calaveras, California, US",6009,California,,,,14.40%,15.5,106.74,Medium,2/24/22
"Colusa, California, US",6011,California,,,,12.20%,18.3,176.36,Medium,2/24/22
"Contra Costa, California, US",6013,California,,,,8.00%,9.1,106.28,Low,2/24/22
"Del Norte, California, US",6015,California,,,,11.90%,26,560.91,High,2/24/22
"El Dorado, California, US",6017,California,,,,13.30%,16,145.71,Medium,2/24/22
"Fresno, California, US",6019,California,,,,20.90%,18.4,304.07,High,2/24/22
"Glenn, California, US",6021,California,,,,15.80%,16.6,105.66,High,2/24/22
"Humboldt, California, US",6023,California,,,,11.50%,14.8,222.78,High,2/24/22
"Imperial, California, US",6025,California,,,,10.80%,10.8,376.9,High,2/24/22
"Inyo, California, US",6027,California,,,,2.20%,0,94.24,Low,2/24/22
"Kern, California, US",6029,California,,,,14.00%,12.7,399.69,High,2/24/22
"Kings, California, US",6031,California,,,,20.90%,18.4,629,High,2/24/22
"Lake, California, US",6033,California,,,,10.90%,13.2,545.15,High,2/24/22
"Lassen, California, US",6035,California,,,,3.30%,10.1,493.9,High,2/24/22
"Los Angeles, California, US",6037,California,,,,7.70%,10.6,216.47,High,2/24/22
"Madera, California, US",6039,California,,,,20.90%,18.4,472.26,High,2/24/22
"Marin, California, US",6041,California,,,,7.40%,7.8,81.14,Low,2/24/22
"Mariposa, California, US",6043,California,,,,14.60%,15.2,191.83,Medium,2/24/22
"Mendocino, California, US",6045,California,,,,12.80%,16.1,234.01,High,2/24/22
"Merced, California, US",6047,California,,,,14.60%,15.2,751.94,High,2/24/22
"Modoc, California, US",6049,California,,,,14.50%,21.4,90.49,High,2/24/22
"Mono, California, US",6051,California,,,,2.20%,0,48.46,Low,2/24/22
"Monterey, California, US",6053,California,,,,9.10%,10.8,355.48,High,2/24/22
"Napa, California, US",6055,California,,,,10.90%,13.2,226.51,High,2/24/22
"Nevada, California, US",6057,California,,,,17.70%,7.8,111.27,High,2/24/22
"Orange, California, US",6059,California,,,,7.70%,10.6,69.84,Medium,2/24/22
"Placer, California, US",6061,California,,,,13.30%,16,119,Medium,2/24/22
"Plumas, California, US",6063,California,,,,3.30%,10.1,79.76,Medium,2/24/22
"Riverside, California, US",6065,California,,,,10.50%,10.2,157.37,Medium,2/24/22
"Sacramento, California, US",6067,California,,,,13.30%,16,156.5,Medium,2/24/22
"San Benito, California, US",6069,California,,,,9.10%,10.8,173.54,Medium,2/24/22
"San Bernardino, California, US",6071,California,,,,10.50%,10.2,121.28,Medium,2/24/22
"San Diego, California, US",6073,California,,,,10.80%,10.8,238.8,High,2/24/22
"San Francisco, California, US",6075,California,,,,7.20%,7.3,117.86,Low,2/24/22
"San Joaquin, California, US",6077,California,,,,14.40%,15.5,178.31,Medium,2/24/22
"San Luis Obispo, California, US",6079,California,,,,7.60%,8.9,146.59,Low,2/24/22
"San Mateo, California, US",6081,California,,,,7.20%,7.3,127.84,Low,2/24/22
"Santa Barbara, California, US",6083,California,,,,7.60%,8.9,241.43,Medium,2/24/22
"Santa Clara, California, US",6085,California,,,,9.10%,10.8,127.97,Medium,2/24/22
"Santa Cruz, California, US",6087,California,,,,8.40%,5.9,207.16,Medium,2/24/22
"Shasta, California, US",6089,California,,,,14.50%,21.4,142.71,High,2/24/22
"Sierra, California, US",6091,California,,,,17.70%,7.8,0,High,2/24/22
"Siskiyou, California, US",6093,California,,,,10.60%,22.2,169.96,High,2/24/22
"Solano, California, US",6095,California,,,,10.90%,13.2,288.18,High,2/24/22
"Sonoma, California, US",6097,California,,,,7.40%,7.8,147.07,Low,2/24/22
"Stanislaus, California, US",6099,California,,,,14.60%,15.2,243.71,High,2/24/22
"Sutter, California, US",6101,California,,,,12.20%,18.3,215.53,High,2/24/22
"Tehama, California, US",6103,California,,,,15.80%,16.6,251.98,High,2/24/22
"Trinity, California, US",6105,California,,,,14.50%,21.4,219.78,High,2/24/22
"Tulare, California, US",6107,California,,,,20.30%,14.8,286.58,High,2/24/22
"Tuolumne, California, US",6109,California,,,,14.60%,15.2,335.92,High,2/24/22
"Ventura, California, US",6111,California,,,,12.90%,11.2,107.92,Medium,2/24/22
"Yolo, California, US",6113,California,,,,13.30%,16,93.42,Medium,2/24/22
"Yuba, California, US",6115,California,,,,12.20%,18.3,212.28,High,2/24/22
"Adams, Colorado, US",8001,Colorado,,,,4.10%,7.1,142.24,Low,2/24/22
"Alamosa, Colorado, US",8003,Colorado,,,,1.60%,14.8,277.21,High,2/24/22
"Arapahoe, Colorado, US",8005,Colorado,,,,4.10%,7.1,164.33,Low,2/24/22
"Archuleta, Colorado, US",8007,Colorado,,,,14.50%,22.9,106.92,High,2/24/22
"Baca, Colorado, US",8009,Colorado,,,,2.00%,15.7,139.63,Medium,2/24/22
"Bent, Colorado, US",8011,Colorado,,,,5.20%,9.2,394.48,Medium,2/24/22
"Boulder, Colorado, US",8013,Colorado,,,,6.20%,9.1,152.98,Low,2/24/22
"Broomfield, Colorado, US",8014,Colorado,,,,6.20%,9.1,161.78,Low,2/24/22
"Chaffee, Colorado, US",8015,Colorado,,,,3.80%,0,186.68,Low,2/24/22
"Cheyenne, Colorado, US",8017,Colorado,,,,8.30%,9.2,109.23,Low,2/24/22
"Clear Creek, Colorado, US",8019,Colorado,,,,4.10%,7.1,41.24,Low,2/24/22
"Conejos, Colorado, US",8021,Colorado,,,,1.60%,14.8,353.44,High,2/24/22
"Costilla, Colorado, US",8023,Colorado,,,,1.60%,14.8,180.09,Medium,2/24/22
"Crowley, Colorado, US",8025,Colorado,,,,5.20%,9.2,395.97,Medium,2/24/22
"Custer, Colorado, US",8027,Colorado,,,,7.90%,5.7,118.39,Low,2/24/22
"Delta, Colorado, US",8029,Colorado,,,,8.30%,9.5,198.96,Low,2/24/22
"Denver, Colorado, US",8031,Colorado,,,,4.10%,7.1,170.51,Low,2/24/22
"Dolores, Colorado, US",8033,Colorado,,,,14.50%,22.9,48.66,High,2/24/22
"Douglas, Colorado, US",8035,Colorado,,,,4.10%,7.1,193.36,Low,2/24/22
"Eagle, Colorado, US",8037,Colorado,,,,6.60%,12.5,177.77,Medium,2/24/22
"Elbert, Colorado, US",8039,Colorado,,,,4.10%,7.1,224.48,Medium,2/24/22
"El Paso, Colorado, US",8041,Colorado,,,,8.30%,9.2,209.47,Medium,2/24/22
"Fremont, Colorado, US",8043,Colorado,,,,7.90%,5.7,436.88,Medium,2/24/22
"Garfield, Colorado, US",8045,Colorado,,,,6.60%,12.5,231.43,High,2/24/22
"Gilpin, Colorado, US",8047,Colorado,,,,4.10%,7.1,112.13,Low,2/24/22
"Grand, Colorado, US",8049,Colorado,,,,4.10%,7.1,152.54,Low,2/24/22
"Gunnison, Colorado, US",8051,Colorado,,,,8.30%,9.5,137.44,Low,2/24/22
"Hinsdale, Colorado, US",8053,Colorado,,,,8.30%,9.5,0,Low,2/24/22
"Huerfano, Colorado, US",8055,Colorado,,,,7.80%,15.9,260.98,High,2/24/22
"Jackson, Colorado, US",8057,Colorado,,,,0.90%,0,0,Low,2/24/22
"Jefferson, Colorado, US",8059,Colorado,,,,4.10%,7.1,207.25,Medium,2/24/22
"Kiowa, Colorado, US",8061,Colorado,,,,5.20%,9.2,0,Low,2/24/22
"Kit Carson, Colorado, US",8063,Colorado,,,,8.30%,9.2,183.18,Low,2/24/22
"Lake, Colorado, US",8065,Colorado,,,,3.80%,0,61.52,Low,2/24/22
"La Plata, Colorado, US",8067,Colorado,,,,14.50%,22.9,183.21,High,2/24/22
"Larimer, Colorado, US",8069,Colorado,,,,5.70%,11.5,233.96,High,2/24/22
"Las Animas, Colorado, US",8071,Colorado,,,,7.80%,15.9,296.43,High,2/24/22
"Lincoln, Colorado, US",8073,Colorado,,,,8.30%,9.2,122.79,Low,2/24/22
"Logan, Colorado, US",8075,Colorado,,,,5.40%,31.1,240.97,High,2/24/22
"Mesa, Colorado, US",8077,Colorado,,,,6.60%,12.5,306.08,High,2/24/22
"Mineral, Colorado, US",8079,Colorado,,,,1.60%,14.8,0,Medium,2/24/22
"Moffat, Colorado, US",8081,Colorado,,,,3.20%,43.7,255.97,High,2/24/22
"Montezuma, Colorado, US",8083,Colorado,,,,14.50%,22.9,213.88,High,2/24/22
"Montrose, Colorado, US",8085,Colorado,,,,8.30%,9.5,215.16,Medium,2/24/22
"Morgan, Colorado, US",8087,Colorado,,,,4.90%,11.1,134.17,Medium,2/24/22
"Otero, Colorado, US",8089,Colorado,,,,5.20%,9.2,284.5,Medium,2/24/22
"Ouray, Colorado, US",8091,Colorado,,,,8.30%,9.5,80.78,Low,2/24/22
"Park, Colorado, US",8093,Colorado,,,,4.10%,7.1,84.9,Low,2/24/22
"Phillips, Colorado, US",8095,Colorado,,,,5.40%,31.1,234.47,High,2/24/22
"Pitkin, Colorado, US",8097,Colorado,,,,6.60%,12.5,348.96,High,2/24/22
"Prowers, Colorado, US",8099,Colorado,,,,5.20%,9.2,221.82,Medium,2/24/22
"Pueblo, Colorado, US",8101,Colorado,,,,7.80%,15.9,219.68,High,2/24/22
"Rio Blanco, Colorado, US",8103,Colorado,,,,6.60%,12.5,268.82,High,2/24/22
"Rio Grande, Colorado, US",8105,Colorado,,,,1.60%,14.8,363.89,High,2/24/22
"Routt, Colorado, US",8107,Colorado,,,,3.20%,43.7,179.42,High,2/24/22
"Saguache, Colorado, US",8109,Colorado,,,,1.60%,14.8,278.43,High,2/24/22
"San Juan, Colorado, US",8111,Colorado,,,,14.50%,22.9,549.45,High,2/24/22
"San Miguel, Colorado, US",8113,Colorado,,,,8.30%,9.5,207.85,Medium,2/24/22
"Sedgwick, Colorado, US",8115,Colorado,,,,5.40%,31.1,266.9,High,2/24/22
"Summit, Colorado, US",8117,Colorado,,,,4.10%,7.1,148.33,Low,2/24/22
